Nombre;Tipo de evento;Fecha inicio evento;Lenguajes del evento;Nombre lugar;Municipio;Pais
Como un viento helado;Teatro;17/11/2018;Espanyol;Santa Ana Udal Antzokia;onyati;Espanya
Como un viento helado;Teatro;10/10/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
CoN - SU - MISMo;Exposicion;28/11/2018;Espanyol;¶Espazioa;Vitoria-Gasteiz;Espanya
Conchas;Actividad infantil;18/11/2018;Espanyol;Teatro Federico Garcia Lorca;Vitoria-Gasteiz;Espanya
Concierto de Bossa Nova y Jazz;Concierto;29/09/2018;Espanyol;Parque de El Prado;Vitoria-Gasteiz;Espanya
Concierto de fin de curso 2017-2018 de la Escuela Municipal de Musica Luis Aramburu de Vitoria-Gasteiz;Concierto;20/06/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Concierto XXV Aniversario de la Escuela de Musica Luis Aramburu;Concierto;20/03/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Concurso Cartel de Fiestas de San Prudencio y Nuestra Senyora de Estibaliz 2018;Concurso;23/01/2018;Euskera / Espanyol;;Vitoria-Gasteiz;Espanya
Concurso Cuentos Ignacio Aldecoa 2018;Concurso;27/01/2018;Espanyol;Casa de Cultura Ignacio Aldecoa;Vitoria-Gasteiz;Espanya
Concurso de Carteles para las Fiestas de la Virgen Blanca 2018;Concurso;02/05/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Concurso de fotografia y video digital para jovenes Gazte Klik Klak 2018;Concurso;03/09/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Concurso de pintura Xavier alvarez de Eulate 2018;Concurso;15/09/2018;Espanyol;Gandiaga Topagunea;onyati;Espanya
Concurso de videos Saharaz blai, sobre el derecho al agua;Concurso;18/01/2018;Espanyol;Asociacion de Amigos y Amigas de la RASD de Alava;Vitoria-Gasteiz;Espanya
Concurso Fotografico FotoArte 2018;Concurso;06/02/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Concurso fotografico: Anillo verde + 25;Concurso;20/02/2018;Euskera / Espanyol;;Vitoria-Gasteiz;Espanya
Concurso Gazte Klik Klak 2018: Cultura y Ciudad;Concurso;28/09/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Conexion: David Cid Trio + Joel Frahm;Concierto;17/07/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Conferencia de Blanca de la Torre: El arte como estrategia ante el cambio climatico y las problematicas ecologicas del presente;Conferencia;10/01/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Conferencia de Eric Dicharry: The Idea of the Idea of Love;Conferencia;13/02/2018;Frances;Artium;Vitoria-Gasteiz;Espanya
Conferencia de Fernando Bartolome: La Lamentacion de Crayer, historia de un cuadro;Conferencia;27/06/2018;Espanyol;Museo Diocesano de Arte Sacro;Vitoria-Gasteiz;Espanya
Conferencia de Juan Mari Beltran: Soinu-tresnak Euskal Herri musikan (1985-2010);Conferencia;01/02/2018;Euskera;oihaneder Euskararen Etxea (Gasteizko Kafe Antzokia);Vitoria-Gasteiz;Espanya
Conferencia de Mar Coll y Ana Pfaff: Montar las historias propias;Conferencia;29/07/2018;Espanyol;ZAS Kultur Espazioa;Vitoria-Gasteiz;Espanya
Conferencia de Susana Rodriguez Lezaun: Asesinos de papel: los entresijos de la novela negra;Conferencia;20/11/2018;Espanyol;Biblioteca de Abetxuko;Vitoria-Gasteiz;Espanya
Conferencia de Uxue Alberdi: Nobela baten eraikuntza;Conferencia;25/04/2018;Euskera;Biblioteca El Pilar;Vitoria-Gasteiz;Espanya
Conferencia-taller sobre percusion con Eva Tejedor;Curso-taller;15/12/2018;Espanyol;Escuela Municipal de Musica Luis Aramburu;Vitoria-Gasteiz;Espanya
Confieso que he fingido;Teatro;30/12/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Confieso que he fingido;Teatro;27/12/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Confieso que he fingido;Teatro;26/12/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Confieso que he fingido;Teatro;23/12/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Confieso que he fingido;Teatro;25/12/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Confieso que he fingido;Teatro;19/12/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Confieso que he fingido;Teatro;18/12/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Construir el espacio / Habitar el paisaje. Entre la escultura y la performance, taller con Blanca ortiga;Curso-taller;15/11/2018;Espanyol;Centro Cultural Montehermoso;Vitoria-Gasteiz;Espanya
Con-su-mismo, instalacion de Ruben Beca;Exposicion;09/11/2018;Espanyol;¶Espazioa;Vitoria-Gasteiz;Espanya
Contradicciones antzerki fisikoko ikastaro trinkoa, Matej Matejkarekin;Curso-taller;02/07/2018;Espanyol;Sala Baratza;Vitoria-Gasteiz;Espanya
Converso;Proyeccion audiovisual;23/10/2018;Espanyol;Aula Fundacion Vital;Vitoria-Gasteiz;Espanya
Converso;Proyeccion audiovisual;23/07/2018;Espanyol;Portico de la Catedral Santa Maria;Vitoria-Gasteiz;Espanya
Cooper;Concierto;30/11/2018;Espanyol;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
Coral Samaniego;Concierto;02/06/2018;Espanyol;Iglesia de Estibaliz;Vitoria-Gasteiz;Espanya
Cortada 2018 - Festival de Cortometrajes de Vitoria-Gasteiz;Festivales (Gazteinformazioa);12/12/2018;Espanyol;Facultad de Letras y Aula Fundacion Vital;Vitoria-Gasteiz;Espanya
Cosas de cartas, exposicion de barajas;Exposicion;26/04/2018;Espanyol;BIBAT. Museo Fournier de Naipes de Alava;Vitoria-Gasteiz;Espanya
Cosmic Fest: Nadja + orthodox + Thisquietarmy + Malke;Concierto;16/03/2018;Ingles;Helldorado;Vitoria-Gasteiz;Espanya
Cosmic Fest: Plebeian Grandstand + Gaerea + Hela + Dejadeath;Concierto;17/03/2018;Ingles;Helldorado;Vitoria-Gasteiz;Espanya
Crash Comic 2018: Certamen de Comic;Concurso;01/10/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Creacion de Politicas publicas en Planadas, Colombia;Exposicion;11/04/2018;Espanyol;Centro Civico Lakua;Vitoria-Gasteiz;Espanya
Creando y recreando Peter Pan;Actividad infantil;20/05/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Creando y recreando Peter Pan, concierto de la Banda Municipal de Musica de Vitoria-Gasteiz;Concierto;20/05/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Crimen y telon;Teatro;05/05/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Cronologia de las bestias;Teatro;10/05/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Crusoe;Teatro;04/07/2018;Espanyol;Centro Civico Iparralde - (Plaza Zuberoa - centro civico Iparralde);Vitoria-Gasteiz;Espanya
Cuentacuentos con musica: Hunkipuinak;Actividad infantil;16/10/2018;Euskera;Biblioteca Ariznabarra;Vitoria-Gasteiz;Espanya
Cuentacuentos con musica: La ruisenora Lola;Actividad infantil;01/12/2018;Espanyol;Biblioteca El Pilar;Vitoria-Gasteiz;Espanya
Cuentacuentos con musica: La ruisenora Lola;Actividad infantil;01/12/2018;Espanyol;Centro Civico Aldabe;Vitoria-Gasteiz;Espanya
Cuentacuentos con musica: Musika eta ipuinak;Actividad infantil;07/11/2018;Euskera;Biblioteca de Abetxuko;Vitoria-Gasteiz;Espanya
Cuentacuentos con musica: Musika galduaren bila;Actividad infantil;19/11/2018;Euskera;Centro Civico Aldabe;Vitoria-Gasteiz;Espanya
Cuenta-cuentos musicado con Arantza Cordero;Teatro;16/12/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Cuentacuentos: Animalien ipuinak;Actividad infantil;14/05/2018;Euskera;Biblioteca Arriaga;Vitoria-Gasteiz;Espanya
Cuentacuentos: Aserrin aserran, cuentos que vienen, cuentos que van;Actividad infantil;17/02/2018;Espanyol;Biblioteca El Pilar;Vitoria-Gasteiz;Espanya
Cuentacuentos: Beldurrezko ipuinak;Actividad infantil;12/04/2018;Euskera;Biblioteca Ibaiondo;Vitoria-Gasteiz;Espanya
Cuentacuentos: Bertsolharitza;Actividad infantil;10/04/2018;Euskera;Biblioteca Judimendi;Vitoria-Gasteiz;Espanya
Cuentacuentos: Clowntu kontari;Actividad infantil;08/05/2018;Euskera;Biblioteca del centro civico Arana;Vitoria-Gasteiz;Espanya
Cuentacuentos: Cucutras;Actividad infantil;16/02/2018;Espanyol;Centro Civico Hegoalde;Vitoria-Gasteiz;Espanya
Cuentacuentos: El mejor regalo;Actividad infantil;17/02/2018;Espanyol;Biblioteca de Lakua;Vitoria-Gasteiz;Espanya
Cuentacuentos: Hacemos grandes cosas;Actividad infantil;16/02/2018;Espanyol;Biblioteca de Abetxuko;Vitoria-Gasteiz;Espanya
Cuentacuentos: Ibili alai, ipuinetan blai;Actividad infantil;21/04/2018;Euskera;Biblioteca de Abetxuko;Vitoria-Gasteiz;Espanya
Cuentacuentos: Ipuinak dantzan;Actividad infantil;21/03/2018;Euskera;Biblioteca Ariznabarra;Vitoria-Gasteiz;Espanya
Cuentacuentos: Kokoren ametsa;Actividad infantil;15/02/2018;Euskera;Biblioteca Judimendi;Vitoria-Gasteiz;Espanya
Cuentacuentos: Kokoren ametsa;Actividad infantil;14/02/2018;Euskera;Biblioteca de Zabalgana;Vitoria-Gasteiz;Espanya
Cuentacuentos: Koloretakoak;Actividad infantil;06/03/2018;Euskera;Biblioteca Iparralde;Vitoria-Gasteiz;Espanya
Cuentacuentos: Kolorez kolore;Actividad infantil;14/02/2018;Euskera;Biblioteca de Salburua;Vitoria-Gasteiz;Espanya
Cuentacuentos: Liburu magikoen etxea;Actividad infantil;18/04/2018;Euskera;Biblioteca de Salburua;Vitoria-Gasteiz;Espanya
Cuentacuentos: Liburutegiko sekretuak;Actividad infantil;14/03/2018;Euskera;Biblioteca de Zabalgana;Vitoria-Gasteiz;Espanya
Cuentacuentos: Liburutegiko sekretuak;Actividad infantil;27/02/2018;Euskera;Biblioteca de Lakua;Vitoria-Gasteiz;Espanya
Cuentacuentos: Liburuxka;Actividad infantil;23/04/2018;Euskera;Biblioteca El Pilar;Vitoria-Gasteiz;Espanya
Cuenta-cuentos: Lorenzoren ontzia;Actividad infantil;16/11/2018;Espanyol;Centro Civico Hegoalde;Vitoria-Gasteiz;Espanya
Cuentacuentos: Maleta kontuak;Actividad infantil;19/04/2018;Euskera;Biblioteca Ariznabarra;Vitoria-Gasteiz;Espanya
Cuentacuentos: Maleta kontuak;Actividad infantil;15/02/2018;Euskera;Biblioteca Arriaga;Vitoria-Gasteiz;Espanya
Cuentacuentos: Munstroak;Actividad infantil;17/04/2018;Euskera;Biblioteca del centro civico Arana;Vitoria-Gasteiz;Espanya
Cuentacuentos: Non da elefante gorria?;Actividad infantil;20/03/2018;Euskera;Biblioteca Ariznabarra;Vitoria-Gasteiz;Espanya
Cuentacuentos: oihaneko tira-birak;Actividad infantil;05/03/2018;Euskera;Biblioteca Ariznabarra;Vitoria-Gasteiz;Espanya
Cuentacuentos: otsoak liburutegian;Actividad infantil;16/04/2018;Euskera;Biblioteca Iparralde;Vitoria-Gasteiz;Espanya
Cuentacuentos: Yogipuinak;Actividad infantil;24/03/2018;Euskera;Biblioteca Ibaiondo;Vitoria-Gasteiz;Espanya
Cuentacuentos: Yogipuinak;Actividad infantil;07/03/2018;Euskera;Biblioteca Judimendi;Vitoria-Gasteiz;Espanya
Cuentacuentos: Zure besoetan;Actividad infantil;19/05/2018;Euskera;Biblioteca de Lakua;Vitoria-Gasteiz;Espanya
Curso de cine impartido por Juan Arrosagaray: Las realidades efimeras;Curso-taller;06/11/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Curso de Pintura Moderna y Tridimensional;Curso-taller;16/05/2018;Espanyol;Centro Civico Iparralde;Vitoria-Gasteiz;Espanya
Curso de radiofrecuencia aplicada al sonido;Curso-taller;27/11/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Curso de teatro y circo (para ninyos y ninyas de 6-10 anyos);Curso-taller;26/12/2018;Euskera / Espanyol;Taller de Artes Escenicas (TAE);Vitoria-Gasteiz;Espanya
Curso itinerante: El paso del tiempo en la Edad Media. Su concepcion, medida y representacion;Curso-taller;15/06/2018;Espanyol;Salon de Grados del Aulario-Biblioteca UPV/EHU;Vitoria-Gasteiz;Espanya
Curso y ciclo de cine. Las realidades efimeras;Curso-taller;06/11/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Cycle + olimpia (Cancelado);Concierto;15/09/2018;Espanyol;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
Daddys Funclub;Concierto;20/10/2018;Espanyol;Jardin de Falerina;Vitoria-Gasteiz;Espanya
Dani Mateo: Desencadenado. 10 anyos dan para mucho;Teatro;09/06/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Danny & The Champions of the World;Concierto;06/03/2018;Ingles;Helldorado;Vitoria-Gasteiz;Espanya
Dantza plazan;Danza;19/07/2018;Espanyol;oihaneder Euskararen Etxea (Gasteizko Kafe Antzokia);Vitoria-Gasteiz;Espanya
Dantza Sarean 2018 - Ciclo Danza Contemporanea de Vitoria-Gasteiz;Festivales (Gazteinformazioa);01/06/2018;Espanyol;Felix Petite Antzokia;Vitoria-Gasteiz;Espanya
Dantzan Bilaka 2018;Danza;28/09/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Dantzan Bilaka 2018;Jornada;28/09/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Dantzan Bilaka 2018: talleres;Danza;28/09/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Dantzatzen Kalez Kale 2018;Danza;12/05/2018;Espanyol;;Vitoria-Gasteiz;Espanya
DANZAlava 2018/19;Curso-taller;08/09/2018;Espanyol;Conservatorio Municipal de Danza Jose Urunyuela;Vitoria-Gasteiz;Espanya
DanzAlava 2018/19;Curso-taller;08/09/2018;Espanyol;;Vitoria-Gasteiz;Espanya
DanzAlava 2018/19 (Laboratorio de Creacion con Monica Valenciano);Curso-taller;12/11/2018;Espanyol;;Vitoria-Gasteiz;Espanya
DanzAlava 2018/19 (Presentaciones publicas);Curso-taller;08/09/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
DanzAlava 2018/19 (Workshops);Curso-taller;08/09/2018;Espanyol;;Vitoria-Gasteiz;Espanya
DanzAlava 2018/19 (Workshops): Serious Fun, Mark Tompkins;Curso-taller;08/10/2018;Espanyol;Conservatorio Municipal de Danza Jose Urunyuela;Vitoria-Gasteiz;Espanya
DanzAlava 2018: Muestra abierta con Katie Duck;Danza;06/07/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
DanZAlava: Maria Munyoz;Presentacion;24/02/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
De libros y poemas, exposicion bibliografica sobre poesia experimental;Exposicion;20/04/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
De profundis;Teatro;25/11/2018;Espanyol;Laboratorio Arte Dramatico ortzai - (Pintoreria, 39);Vitoria-Gasteiz;Espanya
De Rubens a Van Dyck. La pintura flamenca en la Coleccion Gerstenmaier;Exposicion;19/04/2018;Espanyol;Sala Fundacion Vital;Vitoria-Gasteiz;Espanya
Dead Bronco + Ella la Rabia (cancelado);Concierto;21/12/2018;Ingles;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
Demuestralo;Teatro;25/11/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Demuestralo;Teatro;18/11/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Demuestralo;Teatro;20/11/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Demuestralo;Teatro;13/11/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Demuestralo;Teatro;11/11/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Denbora;otros;25/11/2018;Euskera;oihaneder Euskararen Etxea (Gasteizko Kafe Antzokia);Vitoria-Gasteiz;Espanya
Derretimos;Actividad infantil;26/08/2018;Espanyol;Farelina Lorategia;Vitoria-Gasteiz;Espanya
Desakato + Smoking Souls;Concierto;16/02/2018;Espanyol;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
Desde el sur: Senegal. Una mirada de Manu Brabo;Exposicion;10/09/2018;Espanyol;Centro Civico Lakua;Vitoria-Gasteiz;Espanya
Desde el sur: Senegal. Una mirada de Manu Brabo;Exposicion;03/09/2018;Espanyol;Centro Civico El Pilar;Vitoria-Gasteiz;Espanya
Desde fuera - At, exposicion de Javier de Reparaz;Exposicion;05/10/2018;Euskera;¶Espazioa;Vitoria-Gasteiz;Espanya
Dia de Santiago y prefiestas de la Blanca 2018 en Vitoria-Gasteiz;otros;22/07/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Dia Internacional de la Musica 2018 en Vitoria-Gasteiz;Concierto;20/06/2018;Espanyol;Varios emplazamientos;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018;otros;18/05/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018 en Alava;otros;18/05/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018, en Artium;otros;18/05/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018, en BIBAT (Museo Fournier de Naipes y Museo de Arqueologia);otros;17/05/2018;Espanyol;BIBAT. Museo Fournier de Naipes y Museo de Arqueologia;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018, en el Museo de Armeria de Alava;otros;16/05/2018;Espanyol;Museo de Armeria de Alava;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018, en el Museo de Ciencias Naturales de Alava;otros;17/05/2018;Espanyol;Museo de Ciencias Naturales de Alava;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018, en el Museo de los Faroles;otros;18/05/2018;Espanyol;Museo de los Faroles;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018, en el Museo Diocesano de Arte Sacro;otros;18/05/2018;Espanyol;Museo Diocesano de Arte Sacro;Vitoria-Gasteiz;Espanya
Dia Internacional de los Museos 2018, en la Fundacion Hontza Museoa de Manyaria;otros;18/05/2018;Espanyol;Museo Fundacion Hontza;Manyaria;Espanya
Dia Internacional del Libro 2018 (actividades en Artium);otros;20/04/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
Dias de Libro 2018;otros;16/04/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Dibertikale 2018;Festivales (Gazteinformazioa);02/07/2018;Espanyol;;Vitoria-Gasteiz;Espanya
Dibujate una y otra vez, exposicion de serigrafias de Mario Paniego;Exposicion;15/04/2018;Espanyol;ARTGIA Sorgune Aretoa;Vitoria-Gasteiz;Espanya
DibuPote;otros;19/07/2018;Espanyol;Falerina Taberna;Vitoria-Gasteiz;Espanya
DibuPote 2018;otros;27/04/2018;Espanyol;ZAS Kultur Espazioa;Vitoria-Gasteiz;Espanya
Dirty Dancing;Teatro;12/07/2018;Espanyol;Buesa Arena;Vitoria-Gasteiz;Espanya
Dj Cubo + ISdeo: Soinuaren inguruan;Proyeccion audiovisual;25/10/2018;Espanyol;ZAS Kultur Espazioa;Vitoria-Gasteiz;Espanya
Do Re Mi golkoa bete ipuin;Actividad infantil;29/10/2018;Euskera;Biblioteca Ariznabarra;Vitoria-Gasteiz;Espanya
Do, re mi, gakoa bete ipuin ipuin kontaketa;Actividad infantil;22/02/2018;Euskera;Biblioteca Aldabe;Vitoria-Gasteiz;Espanya
Doctor Deseo;Concierto;05/05/2018;Espanyol;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
Doctor Deseo;Concierto;09/08/2018;Espanyol;Txosnagunea;Vitoria-Gasteiz;Espanya
Doctorado en Linguistica y Filologia Vascas - UPV-EHU;Curso-taller;10/09/2018;Euskera / Espanyol;UPV/EHU. Facultad de Letras;Vitoria-Gasteiz;Espanya
Documentales de Ciencias Naturales;Proyeccion audiovisual;11/04/2018;Espanyol;Aula Fundacion Vital;Vitoria-Gasteiz;Espanya
Don Inorrez;Concierto;11/11/2018;Euskera;Antixeneko Gaztetxia;onyati;Espanya
Don Inorrez + Duluth;Concierto;22/11/2018;Euskera;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
Dorian;Concierto;17/11/2018;Espanyol;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
Dr. Feelgood;Concierto;27/10/2018;Ingles;Helldorado;Vitoria-Gasteiz;Espanya
Dr. Mahas Miracle Tonic;Concierto;10/10/2018;Espanyol;Pabellon Universitario de la UPV/EHU (Vitoria-Gasteiz);Vitoria-Gasteiz;Espanya
Dr. Sax;Concierto;08/06/2018;Espanyol;Palacio de Villa Suso;Vitoria-Gasteiz;Espanya
Dr. Sax: Mantras of the Rainy Night;Concierto;08/11/2018;Espanyol;Biblioteca Aldabe;Vitoria-Gasteiz;Espanya
Drowsy;Concierto;16/06/2018;Espanyol;Dark(a)head;Vitoria-Gasteiz;Espanya
Drumming;Concierto;10/11/2018;Espanyol;Conservatorio de Musica Jesus Guridi;Vitoria-Gasteiz;Espanya
Dublindarrak;Teatro;22/03/2018;Euskera;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
Dukkha;Concierto;16/01/2018;Euskera;Parral taberna;Vitoria-Gasteiz;Espanya
Dulce de leche;Actividad infantil;04/03/2018;Espanyol;KunArte;Vitoria-Gasteiz;Espanya
Dulce monstruo de juventud, exposicion de fotografia de Alberto Garcia Alix;Exposicion;05/07/2018;Espanyol;Sala Fundacion Vital;Vitoria-Gasteiz;Espanya
Duo LIncontro;Concierto;04/11/2018;Espanyol;Santa Ana Udal Antzokia;onyati;Espanya
Dzast Ahotsak;Concierto;15/11/2018;Espanyol;Conservatorio de Musica Jesus Guridi;Vitoria-Gasteiz;Espanya
Ecos de la Transicion en el Pais Vasco: politica, cultura y movimientos sociales;Conferencia;22/02/2018;Espanyol;Centro Civico El Pilar;Vitoria-Gasteiz;Espanya
Eddie And The Hot Rods + Los Tupper + Moni Garage;Concierto;05/05/2018;Ingles;Helldorado;Vitoria-Gasteiz;Espanya
Egur taupadak;Actividad infantil;27/10/2018;Euskera;Centro Civico Salburua;Vitoria-Gasteiz;Espanya
Ehuna;Actividad infantil;29/12/2018;Espanyol;KunArte;Vitoria-Gasteiz;Espanya
Ehuna;Actividad infantil;17/11/2018;Espanyol;Teatro Federico Garcia Lorca;Vitoria-Gasteiz;Espanya
El arpa en la musica tradicional catalana, charla-concierto a cargo de Josep Maria Ribelles;Conferencia;15/12/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
El arte (acto 1);Exposicion;26/04/2018;Espanyol;Artium;Vitoria-Gasteiz;Espanya
El arte de escapar, exposicion de pintura de Pilar Bustamante;Exposicion;26/09/2018;Espanyol;Sala Araba;Vitoria-Gasteiz;Espanya
El arte de nacer seminario intensivo de Butosofia con Jonathan Martineau;Curso-taller;23/07/2018;Espanyol;Sala Baratza;Vitoria-Gasteiz;Espanya
El bosque animado, Exposicion del grupo de pintura al aire libre Aula 44;Exposicion;27/11/2018;Espanyol;Centro Civico El Pilar;Vitoria-Gasteiz;Espanya
El cascanueces;Danza;17/12/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
El cementerio de Santa Isabel: museo de arte, archivo historico y jardin con mensaje;Conferencia;17/04/2018;Espanyol;Centro Civico Ibaiondo;Vitoria-Gasteiz;Espanya
El chico de las zapatillas rojas;Actividad infantil;04/03/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
El coleccionista de sonidos;Actividad infantil;23/12/2018;Espanyol;KunArte;Vitoria-Gasteiz;Espanya
El cuerpo polifonico, workshop a cargo de Monica Valenciano;Curso-taller;20/01/2018;Espanyol;Conservatorio Municipal de Danza Jose Urunyuela;Vitoria-Gasteiz;Espanya
El Desvan del Macho + Joseba B. Lenoir;Concierto;15/06/2018;Espanyol;Gasteizko Gaztetxea;Vitoria-Gasteiz;Espanya
El dormilon;Proyeccion audiovisual;21/03/2018;Espanyol;Centro Cultural Montehermoso;Vitoria-Gasteiz;Espanya
El eje tridimensional del lenguaje verbal oral: el pliegue tonal, exposicion de Andrea Davila;Exposicion;09/11/2018;Espanyol;Centro Cultural Montehermoso;Vitoria-Gasteiz;Espanya
El enjambre;Teatro;16/11/2018;Espanyol;Felix Petite Antzokia;Vitoria-Gasteiz;Espanya
El fin de las cosas;Danza;01/06/2018;Espanyol;Felix Petite Antzokia;Vitoria-Gasteiz;Espanya
El funeral;Teatro;08/08/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
El futuro empieza hoy, exposicicon de la Fundacion Vicente Ferrer;Exposicion;16/02/2018;Espanyol;Centro Civico El Pilar;Vitoria-Gasteiz;Espanya
El gran mercado;Teatro;12/05/2018;Espanyol;Centro Civico Salburua;Vitoria-Gasteiz;Espanya
El gran mercado;Teatro;23/11/2018;Espanyol;Aula Fundacion Vital;Vitoria-Gasteiz;Espanya
El monstruo devorador del tiempo;Actividad infantil;03/01/2018;Euskera;Catedral Santa Maria (cripta);Vitoria-Gasteiz;Espanya
El mundo por montera;Teatro;08/06/2018;Espanyol;Plaza de la Provincia;Vitoria-Gasteiz;Espanya
El papel de las mujeres en el cine, conferencia a cargo de Pilar Aguilar;Conferencia;12/03/2018;Espanyol;Casa de Cultura Ignacio Aldecoa;Vitoria-Gasteiz;Espanya
El patito no es feo, es diferente;Actividad infantil;02/12/2018;Espanyol;KunArte;Vitoria-Gasteiz;Espanya
El Pele;Concierto;03/02/2018;Espanyol;Teatro Jesus Ibanyez de Matauco;Vitoria-Gasteiz;Espanya
El proceso;Proyeccion audiovisual;31/01/2018;Espanyol;Centro Cultural Montehermoso;Vitoria-Gasteiz;Espanya
El Reno Renardo;Concierto;27/01/2018;Espanyol;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
El senyor de las moscas;Proyeccion audiovisual;07/02/2018;Espanyol;Centro Cultural Montehermoso;Vitoria-Gasteiz;Espanya
El silencio y la posibilidad de imaginar, workshop a cargo de Maria Munyoz;Curso-taller;24/02/2018;Espanyol;Conservatorio Municipal de Danza Jose Urunyuela;Vitoria-Gasteiz;Espanya
El tiempo del lobo;Proyeccion audiovisual;25/04/2018;Espanyol;Centro Cultural Montehermoso;Vitoria-Gasteiz;Espanya
El tiempo y las cosas. Toni Catany;Proyeccion audiovisual;02/03/2018;Espanyol;Sociedad Fotografica Alavesa;Vitoria-Gasteiz;Espanya
El tratamiento;Teatro;10/03/2018;Espanyol;Teatro Principal de Gasteiz;Vitoria-Gasteiz;Espanya
El ultimo Ke Zierre;Concierto;05/10/2018;Espanyol;Sala Jimmy Jazz;Vitoria-Gasteiz;Espanya
El viaje mas bonito del mundo;Actividad infantil;12/08/2018;Espanyol;Parque de Arriaga;Vitoria-Gasteiz;Espanya
Eli Paperboy Red meets The High & Mighty Brass Band;Concierto;15/06/2018;Ingles;Helldorado;Vitoria-Gasteiz;Espanya
Elkarrekin - Together;Proyeccion audiovisual;23/05/2018;Euskera;oihaneder Euskararen Etxea (Gasteizko Kafe Antzokia);Vitoria-Gasteiz;Espanya
